#TYPE Deserialized.System.ServiceProcess.ServiceController
"Name","RequiredServices","PSComputerName","RunspaceId","PSShowComputerName","CanPauseAndContinue","CanShutdown","CanStop","DisplayName","DependentServices","MachineName","ServiceName","ServicesDependedOn","Status","ServiceType","StartType","Site","Container"
"GoTrust ID Plugin","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","GoTrust ID Plugin","",".","GoTrust ID Plugin","","Running","Win32OwnProcess","Automatic",,
"GoTrustID Service","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","GoTrustID Service","",".","GoTrustID Service","","Running","Win32OwnProcess","Automatic",,
"gpsvc","RPCSS Mup","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Group Policy Client","",".","gpsvc","RPCSS Mup","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"HvHost","hvservice","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","HV Host Service","",".","HvHost","hvservice","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"igccservice","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","True","True","True","Intel(R) Graphics Command Center Service","",".","igccservice","","Running","Win32OwnProcess","Automatic",,
"igfxCUIService2.0.0.0","SENS","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Intel(R) HD Graphics Control Panel Service","",".","igfxCUIService2.0.0.0","SENS","Running","Win32OwnProcess","Automatic",,
"IKEEXT","nsi BFE","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","IKE and AuthIP IPsec Keying Modules","XboxNetApiSvc",".","IKEEXT","nsi BFE","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"InstallService","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Microsoft Store Install Service","",".","InstallService","rpcss","Running","Win32OwnProcess","Manual",,
"iphlpsvc","WinHttpAutoProxySvc winmgmt nsi RpcSS tcpip","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","IP Helper","NcaSvc jhi_service",".","iphlpsvc","WinHttpAutoProxySvc winmgmt nsi RpcSS tcpip","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"jhi_service","TCPIP iphlpsvc","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Intel(R) Dynamic Application Loader Host Interface Service","",".","jhi_service","TCPIP iphlpsvc","Running","Win32OwnProcess","Automatic",,
"KeyIso","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","CNG Key Isolation","XboxNetApiSvc dot3svc Eaphost",".","KeyIso","RpcSs","Running","Win32ShareProcess","Manual",,
"Killer Analytics Service","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Killer Analytics Service","",".","Killer Analytics Service","","Running","Win32OwnProcess","Automatic",,
"Killer Network Service","KfeCoSvc EventLog nsi","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Killer Network Service","",".","Killer Network Service","KfeCoSvc EventLog nsi","Running","Win32OwnProcess","Automatic",,
"Killer Wifi Optimization Service","Netman LanmanServer NetSetupSvc","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Killer Wifi Optimization Service","",".","Killer Wifi Optimization Service","Netman LanmanServer NetSetupSvc","Running","Win32OwnProcess","Manual",,
"LanmanServer","SamSS Srv2","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Server","Killer Wifi Optimization Service",".","LanmanServer","SamSS Srv2","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"LanmanWorkstation","NSI MRxSmb20 Bowser","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","True","False","True","Workstation","SessionEnv Netlogon",".","LanmanWorkstation","NSI MRxSmb20 Bowser","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"lfsvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Geolocation Service","",".","lfsvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LicenseManager","rpcss","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Windows License Manager Service","",".","LicenseManager","rpcss","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"lmhosts","Afd","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","TCP/IP NetBIOS Helper","",".","lmhosts","Afd","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"LMS","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Intel(R) Management and Security Application Local Management Service","",".","LMS","","Running","Win32OwnProcess","Automatic",,
"LSM","DcomLaunch RpcSs RpcEptMapper","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","Local Session Manager","",".","LSM","DcomLaunch RpcSs RpcEptMapper","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"mpssvc","mpsdrv bfe","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","Windows Defender Firewall",,".","mpssvc","mpsdrv bfe","Running","Win32ShareProcess","Automatic",,
"NcbService","BrokerInfrastructure RpcSS tcpip","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Network Connection Broker","CDPSvc",".","NcbService","BrokerInfrastructure RpcSS tcpip","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"Netman","RpcSs nsi","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Network Connections","xTendUtilityService xTendSoftAPService KNDBWM Killer Wifi Optimization Service",".","Netman","RpcSs nsi","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"netprofm","RpcSs nlasvc","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Network List Service","NcdAutoSetup AppVClient",".","netprofm","RpcSs nlasvc","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NgcCtnrSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Microsoft Passport Container",,".","NgcCtnrSvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NgcSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Microsoft Passport",,".","NgcSvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"NlaSvc","NSI RpcSs Eventlog Dhcp TcpIp","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Network Location Awareness","NcdAutoSetup AppVClient netprofm",".","NlaSvc","NSI RpcSs Eventlog Dhcp TcpIp","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"nsi","rpcss nsiproxy","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Network Store Interface Service","xTendSoftAPService WlanSvc icssvc Wcmsvc upnphost SSDPSRV NcdAutoSetup AppVClient netprofm NlaSvc xTendUtilityService KNDBWM Killer Wifi Optimization Service Netman NcaSvc SessionEnv Netlogon LanmanWorkstation Killer Network Service IpxlatCfgSvc jhi_service iphlpsvc XboxNetApiSvc IKEEXT RemoteAccess RasMan Dnscache WinHttpAutoProxySvc Dhcp",".","nsi","rpcss nsiproxy","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"NVDisplay.ContainerLocalSystem","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","NVIDIA Display Container LS","",".","NVDisplay.ContainerLocalSystem","","Running","Win32OwnProcess","Automatic",,
"OneSyncSvc_4924840","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Sync Host_4924840","",".","OneSyncSvc_4924840","","Running","224","Automatic",,
"PcaSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Program Compatibility Assistant Service","",".","PcaSvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"PhoneSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Phone Service","",".","PhoneSvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"PimIndexMaintenanceSvc_4924840","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Contact Data_4924840","",".","PimIndexMaintenanceSvc_4924840","","Running","224","Manual",,
"PlugPlay","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Plug and Play","",".","PlugPlay","","Running","Win32ShareProcess","Manual",,
"Power","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","Power","",".","Power","","Running","Win32ShareProcess","Automatic",,
"ProfSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","User Profile Service","XblGameSave TokenBroker UserManager shpamsvc NaturalAuthentication Appinfo",".","ProfSvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"PSSvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Predator Service","",".","PSSvc","","Running","Win32OwnProcess","Manual",,
"QASvc","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Quick Access Service","",".","QASvc","","Running","Win32OwnProcess","Manual",,
"RasMan","SstpSvc DnsCache","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Remote Access Connection Manager","RemoteAccess",".","RasMan","SstpSvc DnsCache","Running","Win32ShareProcess","Automatic",,
"RmSvc","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","True","Radio Management Service","",".","RmSvc","RpcSs","Running","Win32OwnProcess, Win32ShareProcess","Manual",,
"RpcEptMapper","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","RPC Endpoint Mapper",,".","RpcEptMapper","","Running","Win32ShareProcess","Automatic",,
"RpcSs","DcomLaunch RpcEptMapper","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","Remote Procedure Call (RPC)",,".","RpcSs","DcomLaunch RpcEptMapper","Running","Win32ShareProcess","Automatic",,
"RstMwService","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Intel(R) Storage Middleware Service","",".","RstMwService","","Running","Win32OwnProcess","Automatic",,
"RtkAudioUniversalService","","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Realtek Audio Universal Service","",".","RtkAudioUniversalService","","Running","Win32OwnProcess","Automatic",,
"SamSs","RPCSS","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","Security Accounts Manager","MSDTC Killer Wifi Optimization Service LanmanServer KtmRm",".","SamSs","RPCSS","Running","Win32ShareProcess","Automatic",,
"Schedule","RPCSS SystemEventsBroker","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","True","True","Task Scheduler","NaturalAuthentication",".","Schedule","RPCSS SystemEventsBroker","Running","Win32OwnProcess, Win32ShareProcess","Automatic",,
"SecurityHealthService","RpcSs","192.168.1.68","50568589-5206-4107-b1a5-fd13462aedde","True","False","False","False","Windows Security Service","",".","SecurityHealthService","RpcSs","Running","Win32OwnProcess","Manual",,
